 description                                  , neighborhood , price , room_type         
 Cozy apartment in the heart of downtown.     , Downtown     ,100, Entire home/apt   
 Sunny room with a view.                       , Uptown       ,50, Private room      
 Spacious loft near the beach.                 , Beachside    ,120, Entire home/apt   
 Quaint cottage in historic neighborhood.      , Historic     ,80, Entire home/apt   
 Modern condo with city skyline views.         , Midtown      ,150, Entire home/apt   
 Chic studio in the artsy district.            , Artsy        ,70, Entire home/apt   
 Cozy bungalow with garden view.              , Suburban     ,90, Entire home/apt   
 Trendy loft in the lively downtown area.      , Downtown     ,110, Entire home/apt   
 Peaceful retreat near the mountains.          , Mountain     ,80, Private room      
 Stylish penthouse overlooking the river.      , Riverside    ,200, Entire home/apt   
 Quirky house with a rooftop terrace.         , Bohemian     ,60, Private room      
 Luxury apartment in the financial district.  , Financial    ,180, Entire home/apt   
 Cozy cottage in a quiet suburban neighborhood., Suburban     ,75, Entire home/apt   
 Vintage townhouse with a garden.              , Historic     ,95, Private room      
 Urban oasis with a pool and city views.       , Midtown      ,160, Entire home/apt   
 Eclectic loft in a vibrant arts district.     , Artsy        ,85, Private room      
 Secluded cabin surrounded by nature.          , Wilderness   ,110, Entire home/apt   
 Quaint guesthouse in a charming village.      , Village      ,70, Private room      
 Stylish apartment with panoramic views.       , Skyline      ,130, Entire home/apt   
 Elegant mansion with a private pool.          , Suburban     ,250, Entire home/apt   
 Cozy retreat in the heart of the city.        , Downtown     ,95, Private room      
 Modern townhouse with rooftop lounge.         , Midtown      ,140, Entire home/apt   
 Rustic cabin in the woods.                    , Wilderness   ,80, Entire home/apt   
 Contemporary condo in a bustling neighborhood., Urban        ,120, Entire home/apt   
 Quaint cottage with a garden view.            , Suburban     ,70, Entire home/apt   
 Spacious penthouse with city skyline views.   , Skyline      ,180, Entire home/apt   
 Cozy room in a historic district.             , Historic     ,65, Private room      
 Luxury beachfront villa with private beach.   , Beachfront   ,300, Entire home/apt   
 Artsy loft in a cultural district.            , Artsy        ,110, Entire home/apt   
 Mountain chalet with stunning views.          , Mountain     ,150, Entire home/apt   
 Quirky treehouse retreat.                     , Wilderness   ,95, Entire home/apt   
 Sleek apartment in a modern skyscraper.       , Skyline      ,170, Entire home/apt   
 Tranquil lakeside cabin.                      , Lakeside     ,120, Entire home/apt   
 Charming guesthouse in a historic area.       , Historic     ,75, Private room      
 Cityview condo with balcony.                  , Urban        ,140, Entire home/apt   
 Cozy cottage with a fireplace.                , Suburban     ,80, Entire home/apt   
 Stylish apartment in a trendy neighborhood.   , Urban        ,130, Entire home/apt   
 Secluded mountain retreat.                    , Mountain     ,110, Entire home/apt   
 Vintage farmhouse with a rustic charm.        , Rural        ,90, Entire home/apt   
 Luxury penthouse with panoramic city views.   , Skyline      ,200, Entire home/apt   
 Eclectic townhouse in an artsy area.          , Artsy        ,75, Private room      
 Beachfront villa with private pool.           , Beachfront   ,250, Entire home/apt   
 Modern loft in a historic building.           , Historic     ,120, Entire home/apt   
 Cozy cabin in the mountains.                  , Mountain     ,100, Entire home/apt   
 Spacious apartment with a skyline view.       , Skyline      ,160, Entire home/apt   
 Riverside retreat with a private dock.        , Riverside    ,110, Entire home/apt   
 Vintage guesthouse in a quiet village.        , Village      ,80, Private room      
 Luxury condo in a high-rise building.         , Urban        ,180, Entire home/apt   
 Quaint cottage with a garden patio.           , Suburban     ,95, Entire home/apt   
 Mountainview cabin with hot tub.              , Mountain     ,130, Entire home/apt   
 Artsy loft in a creative neighborhood.        , Artsy        ,85, Private room      
 Cozy beach house steps away from the shore.   , Beachfront   ,120, Entire home/apt   
 Rustic retreat in the wilderness.             , Wilderness   ,90, Entire home/apt   
 Historic mansion with classic charm.          , Historic ,90,
