,data,label
0,smile0.png,Smile
1,smile1.png,Smile
2,smile2.png,Smile
3,smile3.png,Smile
4,smile4.png,Smile
5,smile5.png,Smile
6,smile6.png,Smile
7,smile7.png,Smile
8,smile8.png,Smile
9,smile9.png,Smile
10,smile10.png,Smile
11,smile11.png,Smile
12,smile12.png,Smile
13,smile13.png,Smile
14,smile14.png,Smile
15,smile15.png,Smile
16,smile16.png,Smile
17,smile17.png,Smile
18,smile18.png,Smile
19,smile19.png,Smile
20,smile20.png,Smile
21,smile21.png,Smile
22,smile22.png,Smile
23,smile23.png,Smile
24,smile24.png,Smile
25,smile25.png,Smile
26,smile26.png,Smile
27,smile27.png,Smile
28,smile28.png,Smile
29,smile29.png,Smile
30,smile30.png,Smile
31,smile31.png,Smile
32,smile32.png,Smile
33,smile33.png,Smile
34,smile34.png,Smile
35,smile35.png,Smile
36,smile36.png,Smile
37,smile37.png,Smile
38,smile38.png,Smile
39,smile39.png,Smile
0,sad0.png,Sad
1,sad1.png,Sad
2,sad2.png,Sad
3,sad3.png,Sad
4,sad4.png,Sad
5,sad5.png,Sad
6,sad6.png,Sad
7,sad7.png,Sad
8,sad8.png,Sad
9,sad9.png,Sad
10,sad10.png,Sad
11,sad11.png,Sad
12,sad12.png,Sad
13,sad13.png,Sad
14,sad14.png,Sad
15,sad15.png,Sad
16,sad16.png,Sad
17,sad17.png,Sad
18,sad18.png,Sad
19,sad19.png,Sad
20,sad20.png,Sad
21,sad21.png,Sad
22,sad22.png,Sad
23,sad23.png,Sad
24,sad24.png,Sad
25,sad25.png,Sad
26,sad26.png,Sad
27,sad27.png,Sad
28,sad28.png,Sad
29,sad29.png,Sad
30,sad30.png,Sad
31,sad31.png,Sad
32,sad32.png,Sad
33,sad33.png,Sad
34,sad34.png,Sad
35,sad35.png,Sad
36,sad36.png,Sad
37,sad37.png,Sad
38,sad38.png,Sad
39,sad39.png,Sad
0,neutral0.png,Neutral
1,neutral1.png,Neutral
2,neutral2.png,Neutral
3,neutral3.png,Neutral
4,neutral4.png,Neutral
5,neutral5.png,Neutral
6,neutral6.png,Neutral
7,neutral7.png,Neutral
8,neutral8.png,Neutral
9,neutral9.png,Neutral
10,neutral10.png,Neutral
11,neutral11.png,Neutral
12,neutral12.png,Neutral
13,neutral13.png,Neutral
14,neutral14.png,Neutral
15,neutral15.png,Neutral
16,neutral16.png,Neutral
17,neutral17.png,Neutral
18,neutral18.png,Neutral
19,neutral19.png,Neutral
20,neutral20.png,Neutral
21,neutral21.png,Neutral
22,neutral22.png,Neutral
23,neutral23.png,Neutral
24,neutral24.png,Neutral
25,neutral25.png,Neutral
26,neutral26.png,Neutral
27,neutral27.png,Neutral
28,neutral28.png,Neutral
29,neutral29.png,Neutral
30,neutral30.png,Neutral
31,neutral31.png,Neutral
32,neutral32.png,Neutral
33,neutral33.png,Neutral
34,neutral34.png,Neutral
35,neutral35.png,Neutral
36,neutral36.png,Neutral
37,neutral37.png,Neutral
38,neutral38.png,Neutral
39,neutral39.png,Neutral
